,id,link,title,month,year,tag,lang,dirty,cleared_title,equals_persian_links,equals_persian_links_counts,persian_year
23,66,https://www.bbc.com/tajik/news/2015/03/150311_rm_jeremy_clarkson_suspended_bbc,150311_rm_jeremy_clarkson_suspended_bbc,03,2015,news,tajik,rm,jeremy_clarkson_suspended_bbc,['https://www.bbc.com/persian/sport/2015/03/150310_l56_jeremy_clarkson_suspended_bbc'],1,2015
24,71,https://www.bbc.com/tajik/news/2015/03/150310_rm_french_argentina,150310_rm_french_argentina,03,2015,news,tajik,rm,french_argentina,['https://www.bbc.com/persian/world/2015/03/150308_u04_french_argentina'],1,2015
25,73,https://www.bbc.com/tajik/news/2015/03/150309_l16_l31_crimea_russia_putin,150309_l16_l31_crimea_russia_putin,03,2015,news,tajik,l16,crimea_russia_putin,['https://www.bbc.com/persian/world/2015/03/150309_l31_crimea_russia_putin'],1,2015
26,74,https://www.bbc.com/tajik/news/2015/03/150309_l16_l31_syria_refinery_isis,150309_l16_l31_syria_refinery_isis,03,2015,news,tajik,l16,syria_refinery_isis,['https://www.bbc.com/persian/world/2015/03/150309_l31_syria_refinery_isis'],1,2015
27,76,https://www.bbc.com/tajik/news/2015/03/150309_l16_l31_gcc_yemen_saudiarabia,150309_l16_l31_gcc_yemen_saudiarabia,03,2015,news,tajik,l16,gcc_yemen_saudiarabia,['https://www.bbc.com/persian/world/2015/03/150309_l31_gcc_yemen_saudiarabia'],1,2015
28,79,https://www.bbc.com/tajik/news/2015/03/150308_l16_l31_russia_nemtsov_murder,150308_l16_l31_russia_nemtsov_murder,03,2015,news,tajik,l16,russia_nemtsov_murder,['https://www.bbc.com/persian/world/2015/03/150308_l31_russia_nemtsov_murder'],1,2015
29,81,https://www.bbc.com/tajik/news/2015/03/150308_l16_l31_arms_saudiarabia_defence_spending,150308_l16_l31_arms_saudiarabia_defence_spending,03,2015,news,tajik,l16,arms_saudiarabia_defence_spending,['https://www.bbc.com/persian/world/2015/03/150308_l31_arms_saudiarabia_defence_spending'],1,2015
30,84,https://www.bbc.com/tajik/news/2015/03/150307_ea_nemtsov_killing_suspect_russia,150307_ea_nemtsov_killing_suspect_russia,03,2015,news,tajik,ea,nemtsov_killing_suspect_russia,['https://www.bbc.com/persian/world/2015/03/150307_l26_nemtsov_killing_suspect_russia'],1,2015
31,85,https://www.bbc.com/tajik/news/2015/03/150307_ea_iraqi_army_recaptured_albaghdadi_isis,150307_ea_iraqi_army_recaptured_albaghdadi_isis,03,2015,news,tajik,ea,iraqi_army_recaptured_albaghdadi_isis,['https://www.bbc.com/persian/world/2015/03/150306_u14_iraqi_army_recaptured_albaghdadi_isis'],1,2015
32,87,https://www.bbc.com/tajik/news/2015/03/150306_rm_nuc_montreaux_comments,150306_rm_nuc_montreaux_comments,03,2015,news,tajik,rm,nuc_montreaux_comments,['https://www.bbc.com/persian/iran/2015/03/150306_l03_nuc_montreaux_comments'],1,2015
33,89,https://www.bbc.com/tajik/news/2015/03/150306_zkh_murder_quvvatov_24grup,150306_zkh_murder_quvvatov_24grup,03,2015,news,tajik,zkh,murder_quvvatov_24grup,['https://www.bbc.com/persian/world/2015/03/150306_rm_zkh_murder_quvvatov_24grup'],1,2015
34,90,https://www.bbc.com/tajik/news/2015/03/150306_rm_iraq_isis_bulldozed_ancient_assyrian_nimrud,150306_rm_iraq_isis_bulldozed_ancient_assyrian_nimrud,03,2015,news,tajik,rm,iraq_isis_bulldozed_ancient_assyrian_nimrud,['https://www.bbc.com/persian/world/2015/03/150306_u14_iraq_isis_bulldozed_ancient_assyrian_nimrud'],1,2015
35,91,https://www.bbc.com/tajik/news/2015/03/150305_l16_me_blast_hits_aleppo_intelligence_hq,150305_l16_me_blast_hits_aleppo_intelligence_hq,03,2015,news,tajik,l16,me_blast_hits_aleppo_intelligence_hq,['https://www.bbc.com/persian/world/2015/03/150305_me_blast_hits_aleppo_intelligence_hq'],1,2015
36,92,https://www.bbc.com/tajik/news/2015/03/150305_l16_me_china_hopes_iran_nuclear_deal_done,150305_l16_me_china_hopes_iran_nuclear_deal_done,03,2015,news,tajik,l16,me_china_hopes_iran_nuclear_deal_done,['https://www.bbc.com/persian/iran/2015/03/150305_me_china_hopes_iran_nuclear_deal_done'],1,2015
37,97,https://www.bbc.com/tajik/news/2015/03/150304_l16_l30_india_raipist_iv,150304_l16_l30_india_raipist_iv,03,2015,news,tajik,l16,india_raipist_iv,['https://www.bbc.com/persian/world/2015/03/150304_l30_india_raipist_iv'],1,2015
38,102,https://www.bbc.com/tajik/news/2015/03/150304_rm_obama_reax_netaniahu_iran_deal,150304_rm_obama_reax_netaniahu_iran_deal,03,2015,news,tajik,rm,obama_reax_netaniahu_iran_deal,['https://www.bbc.com/persian/iran/2015/03/150303_l10_obama_reax_netaniahu_iran_deal'],1,2015
39,115,https://www.bbc.com/tajik/news/2015/03/150301_l16_l31_egypt_election_parliament,150301_l16_l31_egypt_election_parliament,03,2015,news,tajik,l16,egypt_election_parliament,['https://www.bbc.com/persian/world/2015/03/150301_l31_egypt_election_parliament'],1,2015
40,120,https://www.bbc.com/tajik/news/2015/02/150227_ea_eugenics_compensation,150227_ea_eugenics_compensation,02,2015,news,tajik,ea,eugenics_compensation,['https://www.bbc.com/persian/world/2015/02/150227_l03_eugenics_compensation'],1,2015
41,121,https://www.bbc.com/tajik/news/2015/02/150227_ea_isis_destroys_ancient_iraq_statues_mosul,150227_ea_isis_destroys_ancient_iraq_statues_mosul,02,2015,news,tajik,ea,isis_destroys_ancient_iraq_statues_mosul,['https://www.bbc.com/persian/world/2015/02/150226_u14_isis_destroys_ancient_iraq_statues_mosul'],1,2015
42,129,https://www.bbc.com/tajik/news/2015/02/150225_l16_an_ukraine_russia_france,150225_l16_an_ukraine_russia_france,02,2015,news,tajik,l16,an_ukraine_russia_france,['https://www.bbc.com/persian/world/2015/02/150225_an_ukraine_russia_france'],1,2015
43,130,https://www.bbc.com/tajik/news/2015/02/150225_l16_l03_amnesty_unsc_veto,150225_l16_l03_amnesty_unsc_veto,02,2015,news,tajik,l16,amnesty_unsc_veto,['https://www.bbc.com/persian/world/2015/02/150225_l03_amnesty_unsc_veto'],1,2015
44,140,https://www.bbc.com/tajik/news/2015/02/150223_l16_l31_egypt_blogger-jail,150223_l16_l31_egypt_blogger-jail,02,2015,news,tajik,l16,egypt_blogger-jail,['https://www.bbc.com/persian/world/2015/02/150223_l31_egypt_blogger-jail'],1,2015
45,141,https://www.bbc.com/tajik/news/2015/02/150223_l16_l31_us_isis_kuwait,150223_l16_l31_us_isis_kuwait,02,2015,news,tajik,l16,us_isis_kuwait,['https://www.bbc.com/persian/world/2015/02/150223_l31_us_isis_kuwait'],1,2015
46,147,https://www.bbc.com/tajik/news/2015/02/150223_ea_ukraine_marches,150223_ea_ukraine_marches,02,2015,news,tajik,ea,ukraine_marches,['https://www.bbc.com/persian/world/2015/02/150222_u04_ukraine_marches'],1,2015
47,148,https://www.bbc.com/tajik/news/2015/02/150222_l16_l26_iran_ambassador_resident_libya_tripoli_explosion,150222_l16_l26_iran_ambassador_resident_libya_tripoli_explosion,02,2015,news,tajik,l16,iran_ambassador_resident_libya_tripoli_explosion,['https://www.bbc.com/persian/iran/2015/02/150222_l26_iran_ambassador_resident_libya_tripoli_explosion'],1,2015
48,149,https://www.bbc.com/tajik/news/2015/02/150222_l16_l10_kharkiv_blast_ukrain,150222_l16_l10_kharkiv_blast_ukrain,02,2015,news,tajik,l16,kharkiv_blast_ukrain,['https://www.bbc.com/persian/world/2015/02/150222_l10_kharkiv_blast_ukrain'],1,2015
49,150,https://www.bbc.com/tajik/news/2015/02/150222_l16_k03_badakshan_avalanch,150222_l16_k03_badakshan_avalanch,02,2015,news,tajik,l16,badakshan_avalanch,['https://www.bbc.com/persian/afghanistan/2015/02/150222_k03_badakshan_avalanch'],1,2015
50,152,https://www.bbc.com/tajik/news/2015/02/150222_l16_l10_ukrain_weapon_pullout_agreed,150222_l16_l10_ukrain_weapon_pullout_agreed,02,2015,news,tajik,l16,ukrain_weapon_pullout_agreed,['https://www.bbc.com/persian/world/2015/02/150222_l10_ukrain_weapon_pullout_agreed'],1,2015
51,156,https://www.bbc.com/tajik/news/2015/02/150220_ea_iraqi_kurds_prepare_retaking_mosul,150220_ea_iraqi_kurds_prepare_retaking_mosul,02,2015,news,tajik,ea,iraqi_kurds_prepare_retaking_mosul,['https://www.bbc.com/persian/world/2015/02/150219_u14_iraqi_kurds_prepare_retaking_mosul'],1,2015
52,159,https://www.bbc.com/tajik/news/2015/02/150219_l16_l45_greece_loan_extension,150219_l16_l45_greece_loan_extension,02,2015,news,tajik,l16,greece_loan_extension,['https://www.bbc.com/persian/business/2015/02/150219_l45_greece_loan_extension'],1,2015
53,160,https://www.bbc.com/tajik/news/2015/02/150219_l16_an_uk_russia_aircrafts,150219_l16_an_uk_russia_aircrafts,02,2015,news,tajik,l16,an_uk_russia_aircrafts,['https://www.bbc.com/persian/world/2015/02/150219_an_uk_russia_aircrafts'],1,2015
54,162,https://www.bbc.com/tajik/news/2015/02/150219_ea_us_taliban_peace_talks_qatar,150219_ea_us_taliban_peace_talks_qatar,02,2015,news,tajik,ea,us_taliban_peace_talks_qatar,['https://www.bbc.com/persian/afghanistan/2015/02/150219_k03_us_taliban_peace_talks_qatar'],1,2015
55,163,https://www.bbc.com/tajik/news/2015/02/150219_ea_iran_nuclear_zarif_kerry,150219_ea_iran_nuclear_zarif_kerry,02,2015,news,tajik,ea,iran_nuclear_zarif_kerry,['https://www.bbc.com/persian/iran/2015/02/150219_l45_iran_nuclear_zarif_kerry'],1,2015
