30464,2011-12-08 22:17:56+00:00,bbcpersian,['http://bbc.in/u55OAD'],'مرگ دو نفر در دانشگاه ویرجینیا تک به ضرب گلوله': روز پنجشنبه در دانشگاه 'ویرجینیا تک' که محل بدترین تیراندازی د... http://t.co/g1I8xoXh
30465,2011-12-08 20:43:38+00:00,bbcpersian,['http://bbc.in/tF2CAm'],گاردین: جنگ علیه ایران آغاز شده است: روزنامه گاردین چاپ لندن، در شماره روز پنجشنبه ۸ دسامبر ۲۰۱۱ خود مقاله‌ای در... http://t.co/FkgQsVta
30466,2011-12-08 17:33:40+00:00,bbcpersian,['http://bit.ly/vDdt8L'],جامعه بین المللی چقدر مسئول وضعیت حقوق بشر در هر کشور است؟: به نظر شما جامعه بین المللی تا چه حد مسئول نقض وضعیت... http://t.co/rt5aYmbJ
30467,2011-12-08 17:02:01+00:00,bbcpersian,['http://bit.ly/v98OsL'],نظر شما درباره گیاهخواری چیست؟: آیا به نظر شما گیاهخواری رژیم غذایی سالم تری نسبت به گوشتخواری است یا انسان نیاز... http://t.co/3UmGrZsu
30468,2011-12-08 14:55:35+00:00,bbcpersian,['http://bbc.in/tuLEkc'],سارکوزی: هرگز خطر انفجار اروپا اینقدر بزرگ نبوده: نیکولا سارکوزی، رئیس جمهور فرانسه هشدار داد که خطر تجزیه اتحاد... http://t.co/zB6JMrW2
30469,2011-12-08 14:55:34+00:00,bbcpersian,['http://bbc.in/tk4Dcg'],عکس: زنان پلیس در افغانستان: عکس هایی از یک گروه ۳۰ نفره از زنان افغان که از مرکز آموزشی پلیس در هرات فارغ التحص... http://t.co/wudPLwcd
30470,2011-12-08 13:53:10+00:00,bbcpersian,['http://bbc.in/rV99fT'],مصباح یزدی، پدر معنوی یا رهبر در سایه؟: محمدتقی مصباح یزدی یکی از پرنفوذترین روحانیان در ایران است. او نفوذ زیاد... http://t.co/8vOeAaUt
30471,2011-12-08 13:53:10+00:00,bbcpersian,['http://bbc.in/ueHCdl'],مجله هنری هفته: رقصی با الهام از بازی پینگ پنگ: عناوین اخبار این هفته: باغ شیشه ای، فیلمی یادآور دورانی غیرقابل ... http://t.co/zAeZMF3H
30472,2011-12-08 12:18:02+00:00,bbcpersian,['http://bbc.in/snO5kW'],ایران باز هم 'بزرگ‌ترین زندان روزنامه‌نگاران جهان' شد: گزارش جدید 'کمیته حفاظت از روزنامه‌نگاران' می‌گوید که شما... http://t.co/F65YjUDk
30473,2011-12-08 10:09:53+00:00,bbcpersian,['http://bbc.in/tZ09i7'],وزارتخارجه ایران: ایجاد سفارت مجازی اعتراف آمریکا به اشتباه است: سخنگوی وزارتخارجه ایران در واکنش به تصمیم دولت ... http://t.co/G1r02OXo
30474,2011-12-08 05:23:34+00:00,bbcpersian,['http://bbc.in/skI4mu'],بررسی روزنامه های تهران: پنجشنبه ۱۷ آذر: روزنامه شرق در تیتر اول خود به تاخیر دولت در ارائه بودجه توجه کرده و تی... http://t.co/iCnqIjpc
30475,2011-12-08 04:20:13+00:00,bbcpersian,['http://bbc.in/t60Jo3'],بیانیه کانون نویسندگان به مناسبت سالگرد قتل مختاری و پوینده: کانون نویسندگان ایران به مناسبت سیزدهمین سال قتل مح... http://t.co/M4de3M18
30476,2011-12-08 03:13:49+00:00,bbcpersian,['http://bbc.in/syZlqF'],فرماندار سابق ايلينويز به ۱۴ سال زندان محکوم شد: راد بلاگویویچ فرماندار پیشین ایالت ایلینویز آمریکا به دلیل فساد... http://t.co/6AHPw8wC
30477,2011-12-08 02:11:32+00:00,bbcpersian,['http://bbc.in/s3ncSU'],انتقاد کاخ سفید از مسدود شدن سفارت مجازی آمریکا: آمریکا از اقدام ایران در مسدود کردن دسترسی به سفارتخانه مجازی ا... http://t.co/FALBtVlL
30478,2011-12-08 01:40:32+00:00,bbcpersian,['http://bbc.in/vhUXfl'],تجمع گسترده معترضان جنبش اشغال وال استریت در واشنگتن: هزاران معترض جنبش اشغال وال استریت در واشنگتن، پایتخت آمری... http://t.co/tPWy2LEq
30479,2011-12-07 21:59:12+00:00,bbcpersian,['http://bbc.in/sBk7eP'],ایرانیان مهاجر برای ایران چه می‌توانند بکنند؟: اگر جوانید، تحصیل کرده اید و تخصص دارید، در خارج ایران زندگی می ک... http://t.co/u7s085Om
